"film_id","title","rental_rate","description","replacement_cost"
914,"Trouble Date","2.99","A Lacklusture Panorama of a Forensic Psychologist And a Woman who must Kill a Explorer in Ancient Japan","13.99"
915,"Truman Crazy","4.99","A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery","9.99"
916,"Turn Star","2.99","A Stunning Tale of a Man And a Monkey who must Chase a Student in New Orleans","10.99"
923,"Unfaithful Kill","2.99","A Taut Documentary of a Waitress And a Mad Scientist who must Battle a Technical Writer in New Orleans","12.99"
926,"Untouchables Sunrise","2.99","A Amazing Documentary of a Woman And a Astronaut who must Outrace a Teacher in An Abandoned Fun House","11.99"
931,"Valentine Vanishing","0.99","A Thrilling Display of a Husband And a Butler who must Reach a Pastry Chef in California","9.99"
933,"Vampire Whale","4.99","A Epic Story of a Lumberjack And a Monkey who must Confront a Pioneer in A MySQL Convention","11.99"
941,"Videotape Arsenic","4.99","A Lacklusture Display of a Girl And a Astronaut who must Succumb a Student in Australia","10.99"
950,"Volume House","4.99","A Boring Tale of a Dog And a Woman who must Meet a Dentist in California","12.99"
953,"Wait Cider","0.99","A Intrepid Epistle of a Woman And a Forensic Psychologist who must Succumb a Astronaut in A Manhattan Penthouse","9.99"
959,"Warlock Werewolf","2.99","A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback","10.99"
963,"Watch Tracy","0.99","A Fast-Paced Yarn of a Dog And a Frisbee who must Conquer a Hunter in Nigeria","12.99"
970,"Westward Seabiscuit","0.99","A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China","11.99"
971,"Whale Bikini","4.99","A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention","11.99"
976,"Wind Phantom","0.99","A Touching Saga of a Madman And a Forensic Psychologist who must Build a Sumo Wrestler in An Abandoned Mine Shaft","12.99"
978,"Wisdom Worker","0.99","A Unbelieveable Saga of a Forensic Psychologist And a Student who must Face a Squirrel in The First Manned Space Station","12.99"
979,"Witches Panic","4.99","A Awe-Inspiring Drama of a Secret Agent And a Hunter who must Fight a Moose in Nigeria","10.99"
980,"Wizard Coldblooded","4.99","A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention","12.99"
981,"Wolves Desire","0.99","A Fast-Paced Drama of a Squirrel And a Robot who must Succumb a Technical Writer in A Manhattan Penthouse","13.99"
987,"Words Hunter","2.99","A Action-Packed Reflection of a Composer And a Mad Scientist who must Face a Pioneer in A MySQL Convention","13.99"
990,"World Leathernecks","0.99","A Unbelieveable Tale of a Pioneer And a Astronaut who must Overcome a Robot in An Abandoned Amusement Park","13.99"
993,"Wrong Behavior","2.99","A Emotional Saga of a Crocodile And a Sumo Wrestler who must Discover a Mad Cow in New Orleans","10.99"
995,"Yentl Idaho","4.99","A Amazing Display of a Robot And a Astronaut who must Fight a Womanizer in Berlin","11.99"
996,"Young Language","0.99","A Unbelieveable Yarn of a Boat And a Database Administrator who must Meet a Boy in The First Manned Space Station","9.99"
998,"Zhivago Core","0.99","A Fateful Yarn of a Composer And a Man who must Face a Boy in The Canadian Rockies","10.99"
